epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.938,1.22627,1.95443,1.39614,0.98924,0.9375,0.98833,0.60101,1.2933,2.21423,1.27547,0.000654971,0.000654971,0.000654971
2,682.614,1.20737,1.36645,1.31424,0.83596,0.9562,0.95856,0.57294,1.41988,1.90503,1.41563,0.00125622,0.00125622,0.00125622
3,1042.38,1.24354,1.20359,1.35738,0.97596,0.875,0.90462,0.51819,1.55119,1.74065,1.48395,0.00179146,0.00179146,0.00179146
4,1456.01,1.23684,1.06154,1.32029,0.99174,1,0.995,0.6226,1.30961,1.23079,1.23173,0.001703,0.001703,0.001703
5,1935.64,1.20488,0.94117,1.3061,0.94047,0.98794,0.98441,0.59327,1.32998,0.85868,1.24662,0.001604,0.001604,0.001604
6,2305.03,1.16245,0.83942,1.26809,1,0.99378,0.995,0.627,1.34533,0.76966,1.2176,0.001505,0.001505,0.001505
7,2680.37,1.15517,0.81339,1.26586,0.99573,1,0.995,0.67807,1.21466,0.59416,1.19254,0.001406,0.001406,0.001406
8,3036.66,1.12522,0.75447,1.24164,0.99603,1,0.995,0.64998,1.27175,0.58253,1.18859,0.001307,0.001307,0.001307
9,3429.99,1.07942,0.68301,1.219,0.99491,1,0.995,0.68017,1.22239,0.56401,1.15628,0.001208,0.001208,0.001208
10,3820.45,1.06826,0.6458,1.21459,0.99532,1,0.995,0.67485,1.14694,0.49714,1.13872,0.001109,0.001109,0.001109
11,4206.34,1.00608,0.5872,1.25379,0.99523,1,0.995,0.68535,1.22944,0.5092,1.15588,0.00101,0.00101,0.00101
12,4601.53,0.98395,0.52901,1.24405,0.99634,1,0.995,0.66354,1.26129,0.48553,1.2096,0.000911,0.000911,0.000911
13,4996.04,0.93742,0.51732,1.20921,0.99636,1,0.995,0.69596,1.18138,0.47632,1.17267,0.000812,0.000812,0.000812
14,5390.52,0.92384,0.49392,1.18988,0.99575,1,0.995,0.65044,1.27469,0.45744,1.18182,0.000713,0.000713,0.000713
15,5791.92,0.92814,0.48519,1.20181,0.99645,1,0.995,0.66676,1.20162,0.43588,1.17141,0.000614,0.000614,0.000614
16,6193.63,0.90797,0.46114,1.18214,0.99622,1,0.995,0.67483,1.18268,0.41557,1.13426,0.000515,0.000515,0.000515
17,6584.12,0.88882,0.43358,1.1581,0.99628,1,0.995,0.70165,1.16659,0.39705,1.1234,0.000416,0.000416,0.000416
18,6852.6,0.86107,0.42419,1.14307,0.99614,1,0.995,0.70204,1.187,0.40083,1.13664,0.000317,0.000317,0.000317
19,7050.42,0.85528,0.40775,1.14697,0.99622,1,0.995,0.70162,1.15797,0.39248,1.13613,0.000218,0.000218,0.000218
20,7295.69,0.82194,0.38961,1.11593,0.99642,1,0.995,0.71284,1.17567,0.39816,1.13404,0.000119,0.000119,0.000119
